['2020-01-07', 'from', 2]
['2020-01-07', '2020', 3]
['2020-01-07', 'health', 2]
['2020-01-07', 'into', 2]
['2020-01-07', 'people', 2]
['2020-01-07', 'around', 2]
['2020-01-07', 'china', 2]
['2020-01-07', 'coronavirus', 2]
['2020-01-07', 'state', 3]
['2020-01-07', 'said', 2]
['2020-01-08', 'from', 2]
['2020-01-08', '2020', 3]
['2020-01-08', 'health', 2]
['2020-01-08', 'into', 2]
['2020-01-08', 'people', 2]
['2020-01-08', 'around', 2]
['2020-01-08', 'china', 2]
['2020-01-08', 'coronavirus', 2]
['2020-01-08', 'state', 3]
['2020-01-08', 'said', 2]
['2020-01-09', 'chinese', 10]
['2020-01-09', 'outbreak', 3]
['2020-01-09', 'have', 8]
['2020-01-09', 'coronavirus', 17]
['2020-01-09', 'that', 5]
['2020-01-09', 'deadly', 2]
['2020-01-09', 'severe', 2]
['2020-01-09', 'according', 4]
['2020-01-09', 'state', 4]
['2020-01-09', 'world', 2]
['2020-01-09', 'health', 6]
['2020-01-09', 'this', 3]
['2020-01-09', 'virus', 6]
['2020-01-09', 'which', 2]
['2020-01-09', 'wuhan', 9]
['2020-01-09', 'central', 3]
['2020-01-09', 'china', 6]
['2020-01-09', 'reported', 5]
['2020-01-09', '\nthe', 2]
['2020-01-09', 'year', 2]
['2020-01-09', 'travel', 2]
['2020-01-09', 'authorities', 6]
['2020-01-09', 'from', 9]
['2020-01-09', 'been', 8]
['2020-01-09', 'novel', 3]
['2020-01-09', 'will', 2]
['2020-01-09', 'other', 3]
['2020-01-09', 'disease', 2]
['2020-01-09', 'said', 7]
['2020-01-09', 'into', 2]
['2020-01-09', 'people', 4]
['2020-01-09', 'around', 2]
['2020-01-09', 'were', 2]
['2020-01-09', 'infected', 2]
['2020-01-09', 'with', 3]
['2020-01-09', 'patients', 7]
['2020-01-09', 'symptoms', 2]
['2020-01-10', 'virus', 5]
['2020-01-10', 'chinese', 4]
['2020-01-10', 'said', 2]
['2020-01-10', 'that', 3]
['2020-01-10', 'wuhan', 5]
['2020-01-10', 'coronavirus', 9]
['2020-01-10', 'with', 4]
['2020-01-10', 'some', 3]
['2020-01-10', 'which', 3]
['2020-01-10', 'from', 3]
['2020-01-10', 'including', 2]
['2020-01-10', 'there', 4]
['2020-01-10', 'severe', 2]
['2020-01-10', 'people', 3]
['2020-01-10', 'this', 4]
['2020-01-10', 'china', 4]
['2020-01-10', 'outbreak', 3]
['2020-01-10', '\nthe', 3]
['2020-01-10', 'cases', 3]
['2020-01-10', 'health', 5]
['2020-01-10', 'about', 3]
['2020-01-10', 'been', 3]
['2020-01-10', 'more', 2]
['2020-01-10', 'news', 2]
['2020-01-10', 'according', 3]
['2020-01-10', 'were', 2]
['2020-01-10', 'officials', 2]
['2020-01-11', 'died', 3]
['2020-01-11', 'wuhan', 4]
['2020-01-11', 'from', 10]
['2020-01-11', 'coronavirus', 4]
['2020-01-11', 'health', 4]
['2020-01-11', 'authorities', 2]
['2020-01-11', 'central', 2]
['2020-01-11', 'chinese', 2]
['2020-01-11', 'city', 2]
['2020-01-11', 'reported', 2]
['2020-01-11', 'first', 2]
['2020-01-11', 'death', 2]
['2020-01-11', 'that', 3]
['2020-01-11', '\nthe', 3]
['2020-01-11', 'said', 4]
['2020-01-11', 'other', 2]
['2020-01-11', 'people', 3]
['2020-01-11', 'were', 7]
['2020-01-11', 'been', 6]
['2020-01-11', 'hospital', 2]
['2020-01-11', 'medical', 2]
['2020-01-11', 'have', 2]
['2020-01-12', '2020', 2]
['2020-01-12', 'china', 2]
