['2020-01-07', 1]
['2020-01-08', 1]
['2020-01-09', 8]
['2020-01-10', 6]
['2020-01-11', 3]
['2020-01-12', 2]
['2020-01-13', 6]
['2020-01-14', 6]
['2020-01-15', 10]
['2020-01-16', 17]
['2020-01-17', 45]
['2020-01-18', 18]
['2020-01-19', 15]
['2020-01-20', 61]
['2020-01-21', 440]
['2020-01-22', 574]
['2020-01-23', 769]
['2020-01-24', 246]
['2020-01-25', 111]
['2020-01-26', 69]
['2020-01-27', 9]
['2020-01-28', 7]
['2020-01-29', 10]
['2020-01-30', 6]
['2020-01-31', 9]
['2020-02-01', 2]
['2020-02-02', 5]
['2020-02-03', 8]
['2020-02-04', 9]
['2020-02-05', 9]
['2020-02-06', 311]
['2020-02-07', 1695]
['2020-02-08', 878]
['2020-02-09', 349]
['2020-02-10', 19]
['2020-02-11', 9]
['2020-02-12', 10]
['2020-02-13', 20]
['2020-02-14', 15]
['2020-02-15', 10]
['2020-02-16', 6]
['2020-02-17', 1132]
['2020-02-18', 1367]
['2020-02-19', 903]
['2020-02-20', 35]
['2020-02-21', 18]
['2020-02-22', 10]
['2020-02-23', 4]
['2020-02-24', 19]
['2020-02-25', 50]
['2020-02-26', 50]
['2020-02-27', 50]
['2020-02-28', 50]
['2020-02-29', 50]
['2020-03-01', 50]
['2020-03-02', 50]
['2020-03-03', 50]
['2020-03-04', 43]
['2020-03-05', 50]
['2020-03-06', 50]
['2020-03-07', 41]
['2020-03-08', 50]
