['2020-01-07', 'health', 2]
['2020-01-07', 'people', 2]
['2020-01-07', 'china', 2]
['2020-01-07', 'coronavirus', 2]
['2020-01-07', 'state', 3]
['2020-01-08', 'health', 2]
['2020-01-08', 'people', 2]
['2020-01-08', 'china', 2]
['2020-01-08', 'coronavirus', 2]
['2020-01-08', 'state', 3]
['2020-01-09', 'chinese', 10]
['2020-01-09', 'outbreak', 3]
['2020-01-09', 'coronavirus', 17]
['2020-01-09', 'deadly', 2]
['2020-01-09', 'severe', 2]
['2020-01-09', 'according', 4]
['2020-01-09', 'state', 4]
['2020-01-09', 'world', 2]
['2020-01-09', 'health', 6]
['2020-01-09', 'virus', 6]
['2020-01-09', 'wuhan', 9]
['2020-01-09', 'central', 3]
['2020-01-09', 'china', 6]
['2020-01-09', 'reported', 5]
['2020-01-09', 'travel', 2]
['2020-01-09', 'authorities', 6]
['2020-01-09', 'novel', 3]
['2020-01-09', 'disease', 2]
['2020-01-09', 'people', 4]
['2020-01-09', 'infected', 2]
['2020-01-09', 'patients', 7]
['2020-01-09', 'symptoms', 2]
['2020-01-10', 'virus', 5]
['2020-01-10', 'chinese', 4]
['2020-01-10', 'wuhan', 5]
['2020-01-10', 'coronavirus', 9]
['2020-01-10', 'including', 2]
['2020-01-10', 'severe', 2]
['2020-01-10', 'people', 3]
['2020-01-10', 'china', 4]
['2020-01-10', 'outbreak', 3]
['2020-01-10', 'cases', 3]
['2020-01-10', 'health', 5]
['2020-01-10', 'according', 3]
['2020-01-10', 'officials', 2]
['2020-01-11', 'wuhan', 4]
['2020-01-11', 'coronavirus', 4]
['2020-01-11', 'health', 4]
['2020-01-11', 'authorities', 2]
['2020-01-11', 'central', 2]
['2020-01-11', 'chinese', 2]
['2020-01-11', 'reported', 2]
['2020-01-11', 'first', 2]
['2020-01-11', 'death', 2]
['2020-01-11', 'people', 3]
['2020-01-11', 'hospital', 2]
['2020-01-11', 'medical', 2]
['2020-01-12', 'china', 2]
['2020-01-13', 'confirmed', 6]
['2020-01-13', 'chinese', 8]
['2020-01-13', 'wuhan', 10]
['2020-01-13', 'infected', 3]
['2020-01-13', 'coronavirus', 6]
['2020-01-13', 'authorities', 3]
['2020-01-13', 'public', 2]
['2020-01-13', 'health', 11]
['2020-01-13', 'minister', 3]
['2020-01-13', 'disease', 2]
['2020-01-13', 'symptoms', 2]
['2020-01-13', 'virus', 5]
['2020-01-13', 'outbreak', 5]
['2020-01-13', 'central', 2]
['2020-01-13', 'china', 2]
['2020-01-13', 'officials', 7]
['2020-01-13', 'world', 3]
['2020-01-13', 'reported', 4]
['2020-01-13', 'where', 2]
['2020-01-13', 'people', 3]
['2020-01-13', 'first', 3]
['2020-01-13', 'person', 2]
['2020-01-14', 'first', 4]
['2020-01-14', 'coronavirus', 11]
['2020-01-14', 'china', 5]
['2020-01-14', 'public', 7]
['2020-01-14', 'health', 9]
['2020-01-14', 'officials', 3]
['2020-01-14', 'reported', 2]
['2020-01-14', 'outbreak', 6]
['2020-01-14', 'severe', 3]
['2020-01-14', 'chinese', 5]
['2020-01-14', 'people', 2]
['2020-01-14', 'wuhan', 11]
['2020-01-14', 'death', 2]
['2020-01-14', 'patients', 4]
['2020-01-14', 'hospital', 2]
['2020-01-14', 'virus', 4]
['2020-01-14', 'control', 3]
['2020-01-14', 'spread', 2]
['2020-01-14', 'infected', 2]
['2020-01-14', 'according', 2]
['2020-01-14', 'minister', 4]
['2020-01-14', 'international', 2]
['2020-01-15', 'chinese', 9]
['2020-01-15', 'world', 9]
['2020-01-15', 'health', 11]
['2020-01-15', 'outbreak', 9]
['2020-01-15', 'central', 5]
['2020-01-15', 'wuhan', 10]
['2020-01-15', 'cases', 4]
['2020-01-15', 'coronavirus', 15]
['2020-01-15', 'virus', 7]
['2020-01-15', 'china', 11]
['2020-01-15', 'person', 5]
['2020-01-15', 'spread', 2]
['2020-01-15', 'severe', 4]
['2020-01-15', 'authorities', 5]
['2020-01-15', 'first', 5]
['2020-01-15', 'reported', 2]
['2020-01-15', 'state', 2]
['2020-01-15', 'people', 3]
['2020-01-15', 'confirmed', 3]
['2020-01-15', 'infected', 3]
['2020-01-16', 'chinese', 11]
['2020-01-16', 'health', 22]
['2020-01-16', 'authorities', 7]
['2020-01-16', 'person', 4]
['2020-01-16', 'coronavirus', 23]
['2020-01-16', 'central', 4]
['2020-01-16', 'china', 20]
['2020-01-16', 'where', 6]
['2020-01-16', 'world', 7]
['2020-01-16', 'spread', 8]
['2020-01-16', 'wuhan', 19]
['2020-01-16', 'confirmed', 6]
['2020-01-16', 'first', 12]
['2020-01-16', 'infected', 5]
['2020-01-16', 'ministry', 10]
['2020-01-16', 'tested', 4]
['2020-01-16', 'positive', 5]
['2020-01-16', 'outbreak', 12]
['2020-01-16', 'virus', 16]
['2020-01-16', 'government', 2]
['2020-01-16', 'reported', 6]
['2020-01-16', 'death', 4]
['2020-01-16', 'people', 8]
['2020-01-16', 'officials', 8]
['2020-01-16', 'hospital', 2]
['2020-01-16', 'medical', 2]
['2020-01-16', 'epidemic', 2]
['2020-01-16', 'disease', 3]
['2020-01-16', 'symptoms', 3]
['2020-01-16', 'patients', 3]
['2020-01-16', 'travel', 5]
['2020-01-16', 'reuters', 2]
['2020-01-16', 'state', 5]
['2020-01-16', 'control', 2]
['2020-01-16', 'markets', 2]
['2020-01-17', 'spread', 6]
['2020-01-17', 'confirmed', 18]
['2020-01-17', 'cases', 21]
['2020-01-17', 'virus', 32]
['2020-01-17', 'three', 13]
['2020-01-17', 'wuhan', 47]
['2020-01-17', 'first', 8]
['2020-01-17', 'authorities', 13]
['2020-01-17', 'where', 8]
['2020-01-17', 'chinese', 18]
['2020-01-17', 'china', 50]
['2020-01-17', 'people', 19]
['2020-01-17', 'novel', 12]
['2020-01-17', 'coronavirus', 46]
['2020-01-17', 'deaths', 6]
['2020-01-17', 'outbreak', 17]
['2020-01-17', 'travel', 11]
['2020-01-17', 'disease', 10]
['2020-01-17', 'control', 6]
['2020-01-17', 'officials', 13]
['2020-01-17', 'symptoms', 14]
['2020-01-17', 'public', 8]
['2020-01-17', 'health', 37]
['2020-01-17', 'being', 7]
['2020-01-17', 'countries', 2]
['2020-01-17', 'patients', 12]
['2020-01-17', 'reported', 12]
['2020-01-17', 'international', 5]
['2020-01-17', 'infected', 9]
['2020-01-17', 'united', 3]
['2020-01-17', 'states', 3]
['2020-01-17', 'ministry', 8]
['2020-01-17', 'hospital', 6]
['2020-01-17', 'according', 5]
['2020-01-17', 'severe', 6]
['2020-01-17', 'measures', 2]
['2020-01-17', 'person', 12]
['2020-01-17', 'tested', 2]
['2020-01-17', 'positive', 2]
['2020-01-17', 'central', 9]
['2020-01-17', 'death', 7]
['2020-01-17', 'medical', 3]
['2020-01-17', 'including', 3]
['2020-01-17', 'world', 4]
['2020-01-17', 'markets', 5]
['2020-01-17', 'state', 2]
['2020-01-18', 'first', 8]
['2020-01-18', 'novel', 5]
['2020-01-18', 'chinese', 10]
['2020-01-18', 'coronavirus', 18]
['2020-01-18', 'spread', 5]
['2020-01-18', 'world', 3]
['2020-01-18', 'health', 13]
['2020-01-18', 'cases', 17]
['2020-01-18', 'tested', 2]
['2020-01-18', 'virus', 13]
['2020-01-18', 'wuhan', 13]
['2020-01-18', 'china', 25]
['2020-01-18', 'severe', 4]
['2020-01-18', 'minister', 2]
['2020-01-18', 'state', 5]
['2020-01-18', 'government', 4]
['2020-01-18', 'outbreak', 12]
['2020-01-18', 'symptoms', 6]
['2020-01-18', 'measures', 7]
['2020-01-18', 'travel', 4]
['2020-01-18', 'ministry', 3]
['2020-01-18', 'confirmed', 2]
['2020-01-18', 'people', 19]
['2020-01-18', 'country', 2]
['2020-01-18', 'officials', 4]
['2020-01-18', 'infected', 3]
['2020-01-18', 'number', 5]
['2020-01-18', 'control', 3]
['2020-01-18', 'central', 4]
['2020-01-18', 'reported', 4]
['2020-01-18', 'authorities', 2]
['2020-01-18', 'three', 2]
['2020-01-18', 'disease', 2]
['2020-01-18', 'united', 3]
['2020-01-18', 'states', 3]
['2020-01-18', 'person', 4]
['2020-01-18', 'public', 2]
['2020-01-19', 'outbreak', 6]
['2020-01-19', 'spread', 3]
['2020-01-19', 'china', 8]
['2020-01-19', 'central', 5]
['2020-01-19', 'wuhan', 13]
['2020-01-19', 'where', 2]
['2020-01-19', 'cases', 15]
['2020-01-19', 'reported', 3]
['2020-01-19', 'number', 4]
['2020-01-19', 'people', 5]
['2020-01-19', 'infected', 2]
['2020-01-19', 'coronavirus', 12]
['2020-01-19', 'including', 2]
['2020-01-19', 'first', 2]
['2020-01-19', 'medical', 4]
['2020-01-19', 'country', 2]
['2020-01-19', 'three', 5]
['2020-01-19', 'chinese', 8]
['2020-01-19', 'disease', 4]
['2020-01-19', 'control', 2]
['2020-01-19', 'severe', 2]
['2020-01-19', 'officials', 5]
['2020-01-19', 'confirmed', 8]
['2020-01-19', 'health', 6]
['2020-01-19', 'virus', 4]
['2020-01-19', 'government', 2]
['2020-01-19', 'international', 2]
['2020-01-19', 'hospital', 3]
['2020-01-19', 'authorities', 4]
['2020-01-19', 'deaths', 2]
['2020-01-19', 'world', 2]
['2020-01-20', 'outbreak', 45]
['2020-01-20', 'coronavirus', 62]
['2020-01-20', 'china', 61]
['2020-01-20', 'chinese', 34]
['2020-01-20', 'government', 19]
['2020-01-20', 'confirmed', 34]
['2020-01-20', 'death', 7]
['2020-01-20', 'disease', 13]
['2020-01-20', 'travel', 10]
